StripChart:,HMI,
Date:, Tue Feb 28 20:42:02 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 10000,
Number of Data Points =, 244,
Time Interval,         1, to ,      4861,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],
         461,     115.195,     211.804,     282.408,     318.741,     360.037,     78118.3,      120041,     49999.9,     39999.9,     173.427,     161.845,     265.692,     67.0801,     326.856,     369.217,      203498,     27999.6,     31999.8,     10999.8,     159.686,
         481,     115.195,     211.804,     282.405,     318.738,     360.036,     78116.8,      120041,     49999.9,     39999.9,     173.427,     161.845,     265.692,     67.0801,      326.85,     369.227,      203498,     27999.6,     31999.8,     10999.8,     159.685,
         501,     115.196,     211.804,     282.402,     318.735,     360.035,     78115.3,      120041,     49999.9,     39999.9,     173.434,     161.846,      265.69,     67.0815,      326.85,     369.227,      203499,     27999.6,     31999.8,     10999.8,     159.684,
         521,     115.196,     211.803,     282.399,     318.732,     360.034,     78113.8,      120040,     49999.8,     39999.9,     173.434,     161.846,      265.69,     67.0815,      326.85,     369.227,      203499,     27999.6,     31999.8,     10999.8,     159.683,
         541,     115.196,     211.803,     282.396,     318.729,     360.033,     78112.4,      120040,     49999.8,     39999.9,     173.434,     161.846,      265.69,     67.0815,     326.842,     369.235,      203499,     27999.6,     31999.8,     10999.8,     159.682,
         561,     115.196,     211.803,     282.393,     318.725,     360.032,       78111,      120040,     49999.8,     39999.9,      173.44,     161.847,     265.689,     67.0828,     326.842,     369.235,      203499,     27999.6,     31999.8,     10999.8,     159.681,
         581,     115.197,     211.802,      282.39,     318.722,     360.032,     78109.6,      120040,     49999.8,     39999.9,      173.44,     161.847,     265.689,     67.0828,     326.842,     369.235,      203499,     27999.6,     31999.8,     10999.8,     159.679,
         601,     115.197,     211.802,     282.387,     318.719,     360.031,     78108.3,      120039,     49999.8,     39999.9,      173.44,     161.847,     265.689,     67.0828,     326.833,      369.24,      203499,     27999.6,     31999.8,     10999.8,     159.678,
         621,     115.197,     211.801,     282.384,     318.716,      360.03,       78107,      120039,     49999.8,     39999.9,     173.447,     161.849,     265.687,      67.084,     326.833,      369.24,      203499,     27999.6,     31999.8,     10999.8,     159.677,
         641,     115.198,     211.801,     282.382,     318.712,     360.029,     78105.7,      120039,     49999.8,     39999.9,     173.447,     161.849,     265.687,      67.084,     326.833,      369.24,      203499,     27999.6,     31999.8,     10999.8,     159.676,
         661,     115.198,     211.801,     282.379,     318.709,     360.028,     78104.4,      120039,     49999.8,     39999.9,     173.447,     161.849,     265.687,      67.084,     326.823,     369.243,      203499,     27999.7,     31999.8,     10999.8,     159.675,
         681,     115.198,       211.8,     282.376,     318.706,     360.028,     78103.2,      120038,     49999.8,     39999.9,     173.453,      161.85,     265.685,     67.0852,     326.823,     369.243,      203499,     27999.7,     31999.8,     10999.8,     159.674,
         701,     115.199,       211.8,     282.373,     318.703,     360.027,       78102,      120038,     49999.8,     39999.9,     173.453,      161.85,     265.685,     67.0852,     326.823,     369.243,      203499,     27999.7,     31999.8,     10999.8,     159.673,
         721,     115.199,       211.8,      282.37,     318.699,     360.026,     78100.9,      120038,     49999.8,     39999.9,     173.453,      161.85,     265.685,     67.0852,     326.811,     369.243,      203499,     27999.7,     31999.8,     10999.8,     159.672,
         741,     115.199,     211.799,     282.368,     318.696,     360.025,     78099.7,      120038,     49999.8,     39999.9,     173.459,     161.851,     265.684,     67.0863,     326.811,     369.243,      203499,     27999.7,     31999.8,     10999.8,     159.671,
         761,     115.199,     211.799,     282.365,     318.693,     360.025,     78098.6,      120037,     49999.8,     39999.9,     173.459,     161.851,     265.684,     67.0863,     326.811,     369.243,      203499,     27999.7,     31999.8,     10999.8,      159.67,
         781,       115.2,     211.798,     282.362,      318.69,     360.024,     78097.6,      120037,     49999.8,     39999.9,     173.459,     161.851,     265.684,     67.0863,     326.799,     369.242,      203499,     27999.7,     31999.8,     10999.8,     159.669,
         801,       115.2,     211.798,      282.36,     318.686,     360.023,     78096.5,      120037,     49999.8,     39999.9,     173.465,     161.851,     265.682,     67.0874,     326.799,     369.242,      203499,     27999.7,     31999.8,     10999.9,     159.669,
         821,       115.2,     211.798,     282.357,     318.683,     360.023,     78095.5,      120037,     49999.8,     39999.9,     173.465,     161.851,     265.682,     67.0874,     326.799,     369.242,      203500,     27999.7,     31999.8,     10999.9,     159.668,
