StripChart:,Data,
Date:, Tue Feb 14 15:14:22 2023
,
Number of Data Variables =, 13,
Max Number of Data Points =, 100000,
Number of Data Points =, 14918,
Time Interval,         1, to ,    895021,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,Naptha Cut Point - Research Octane Number (Naptha),Diesel Centane Index - Cetane Index (DieselMix),HMI - G8:,HMI - G10:,HMI - G11:,HMI - G13:,HMI - G14:,HMI - G15:,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),
[seconds],[],[],[],[],[],[],[],[],[C],[C],[C],[C],[C],
        2101,     60.2633,      46.743,     21.2937,     13.2452,     16.5902,     96.6778,    0.425388,     2.93899,     175.026,     158.566,     265.789,     326.451,     364.743,
        2161,     60.2855,     46.7424,     21.2232,     13.2343,      16.495,     97.8096,    0.425411,     1.78802,     174.935,     158.024,     265.211,     326.397,     364.744,
        2221,     60.3157,     46.7407,     21.1588,     13.2255,      16.442,     98.4245,    0.425441,      1.1626,     174.784,      157.28,     264.361,     326.282,     364.744,
        2281,     60.3395,      46.737,     21.1035,     13.2251,     16.4198,      98.758,    0.425466,    0.823334,     174.579,     156.966,     263.437,     326.106,     364.738,
        2341,      60.359,     46.7307,     21.0652,     13.2341,       16.42,     98.9385,    0.425486,    0.639717,     174.335,     156.297,     262.588,     325.849,     364.725,
        2401,     60.3738,     46.7213,     21.0332,     13.2479,     16.4315,     99.0359,    0.425501,    0.540611,     174.067,     155.735,     261.869,     325.515,     364.698,
        2461,     60.3854,     46.7093,     20.9989,     13.2613,     16.4451,     99.0883,    0.425511,    0.487259,     173.786,      155.29,     261.291,     325.113,     364.656,
        2521,     60.3924,      46.695,     20.9547,     13.2724,     16.4573,     99.1165,    0.425518,    0.458601,     173.503,     154.954,     260.844,     324.652,     364.595,
        2581,     60.3957,      46.679,     20.9024,     13.2796,     16.4652,     99.1316,    0.425523,    0.443233,     173.226,     154.704,     260.507,     324.143,     364.513,
        2641,     60.3962,     46.6617,     20.8407,     13.2832,      16.469,     99.1396,    0.425525,    0.435002,     172.951,     154.528,     260.261,     323.599,     364.409,
