StripChart:,HMI,
Date:, Tue Feb 28 23:12:42 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 10000,
Number of Data Points =, 2104,
Time Interval,         1, to ,     42061,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],
         481,     116.836,     200.583,     269.518,     302.839,      360.06,      119866,      118328,     49997.9,     39998.5,     156.777,     143.704,     237.164,     49.3791,     292.903,     322.829,      234787,     25004.6,     32002.9,     11001.1,     216.914,
         501,     116.843,     200.547,     269.462,     302.805,     360.072,      119882,      118327,     49997.4,     39998.2,     156.774,     143.721,     236.971,     49.3322,     292.903,     322.829,      234762,     25003.9,     32003.1,     11001.2,     216.931,
         521,     116.849,     200.513,     269.408,     302.772,     360.087,      119899,      118326,     49996.9,     39997.8,     156.774,     143.721,     236.971,     49.3322,     292.903,     322.829,      234738,     25003.5,     32003.4,     11001.3,     216.949,
         541,     116.856,     200.479,     269.357,      302.74,     360.101,      119918,      118325,     49996.4,     39997.4,     156.774,     143.721,     236.971,     49.3322,     292.859,      322.81,      234716,     25003.2,     32003.6,     11001.4,     216.968,
         561,     116.863,     200.447,     269.306,     302.709,     360.115,      119938,      118324,     49995.9,     39997.1,      156.77,     143.696,     236.767,     49.2771,     292.859,      322.81,      234697,       25003,     32003.8,     11001.4,     216.989,
         581,      116.87,     200.417,     269.258,     302.679,     360.132,      119959,      118323,     49995.5,     39996.8,      156.77,     143.696,     236.767,     49.2771,     292.859,      322.81,      234680,     25002.9,       32004,     11001.5,     217.009,
         601,     116.876,     200.387,     269.211,      302.65,     360.149,      119982,      118322,     49995.1,     39996.5,      156.77,     143.696,     236.767,     49.2771,     292.804,     322.783,      234667,     25002.8,     32004.1,     11001.6,     217.031,
         621,     116.883,     200.359,     269.166,     302.622,      360.17,      120005,      118321,     49994.7,     39996.3,     156.766,     143.647,     236.561,     49.2192,     292.804,     322.783,      234657,     25002.8,     32004.3,     11001.6,     217.053,
         641,      116.89,     200.331,     269.122,     302.595,     360.187,      120030,      118320,     49994.3,     39996.1,     156.766,     143.647,     236.561,     49.2192,     292.804,     322.783,      234651,     25002.8,     32004.4,     11001.7,     217.076,
         661,     116.896,     200.304,     269.079,     302.569,     360.205,      120055,      118319,       49994,     39995.9,     156.766,     143.647,     236.561,     49.2192,     292.739,     322.746,      234647,     25002.8,     32004.5,     11001.7,     217.099,
         681,     116.902,     200.278,     269.038,     302.544,     360.226,      120080,      118318,     49993.7,     39995.7,     156.762,     143.588,     236.361,     49.1617,     292.739,     322.746,      234647,     25002.8,     32004.6,     11001.8,     217.122,
         701,     116.908,     200.253,     268.997,     302.519,     360.246,      120106,      118317,     49993.4,     39995.6,     156.762,     143.588,     236.361,     49.1617,     292.739,     322.746,      234651,     25002.8,     32004.6,     11001.8,     217.145,
         721,     116.914,     200.228,     268.957,     302.494,     360.263,      120132,      118316,     49993.2,     39995.5,     156.762,     143.588,     236.361,     49.1617,     292.665,     322.699,      234656,     25002.9,     32004.7,     11001.8,     217.168,
