StripChart:,HMI,
Date:, Thu Mar 09 15:32:27 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 10000,
Number of Data Points =, 223,
Time Interval,         1, to ,      4441,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],
         921,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         941,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         961,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
         981,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1001,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1021,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1041,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1061,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1081,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1101,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1121,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1141,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1161,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1181,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1201,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1221,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1241,     113.441,     211.728,      277.39,     310.875,         360,       85353,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1261,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1281,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1301,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1321,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5433,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1341,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1361,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1381,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1401,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1421,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1441,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1461,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1481,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
        1501,     113.441,     211.728,      277.39,     310.875,         360,     85353.1,      120000,       50000,       40000,     171.735,     158.231,     262.478,     64.5432,     316.331,     352.776,      235000,       30000,       30000,       11000,      164.52,
