StripChart:,HMI,
Date:, Thu Mar 09 15:45:33 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 10000,
Number of Data Points =, 65,
Time Interval,         1, to ,      1281,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],
           1,     113.812,     211.367,      279.88,     314.752,         360,     73899.4,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.557,      235000,       27000,       32000,       11300,     157.554,
          21,     113.812,     211.367,      279.88,     314.752,         360,     73899.4,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.557,      235000,       27000,       32000,       11300,     157.554,
          41,     113.812,     211.367,      279.88,     314.752,         360,     73899.4,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.557,      235000,       27000,       32000,       11300,     157.554,
          61,     113.812,     211.367,      279.88,     314.752,         360,     73899.4,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.557,      235000,       27000,       32000,       11300,     157.554,
          81,     113.812,     211.367,      279.88,     314.752,         360,     73899.4,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.557,      235000,       27000,       32000,       11300,     157.554,
         101,     113.812,     211.367,      279.88,     314.752,         360,     73899.4,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.557,      235000,       27000,       32000,       11300,     157.554,
         121,     113.812,     211.367,      279.88,     314.752,         360,     73899.4,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.557,      235000,       27000,       32000,       11300,     157.554,
         141,     113.812,     211.367,      279.88,     314.752,         360,     73899.4,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.557,      235000,       27000,       32000,       11300,     157.554,
         161,     113.812,     211.367,      279.88,     314.752,         360,     73899.4,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.557,      235000,       27000,       32000,       11300,     157.554,
         181,     113.812,     211.367,      279.88,     314.752,         360,     73899.3,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.557,      235000,       27000,       32000,       11300,     157.554,
         201,     113.812,     211.367,      279.88,     314.752,         360,     73899.3,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.557,      235000,       27000,       32000,       11300,     157.554,
         221,     113.812,     211.367,      279.88,     314.752,         360,     73899.3,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.557,      235000,       27000,       32000,       11300,     157.554,
         241,     113.812,     211.367,      279.88,     314.752,         360,     73899.3,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.556,      235000,       27000,       32000,       11300,     157.554,
         261,     113.812,     211.367,      279.88,     314.752,         360,     73899.3,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.556,      235000,       27000,       32000,       11300,     157.554,
         281,     113.812,     211.366,      279.88,     314.752,         360,     73899.3,      120000,       50000,       40000,     175.576,     164.648,     264.681,     67.5277,     322.172,     362.556,      235000,       27000,       32000,       11300,     157.554,
