StripChart:,HMI,
Date:, Thu Mar 09 20:29:11 2023
,
Number of Data Variables =, 26,
Max Number of Data Points =, 10000,
Number of Data Points =, 38,
Time Interval,         1, to ,       741,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],
           1,     117.055,     211.922,      280.12,     315.778,         360,     81709.2,      120000,       50000,       40000,     176.425,     163.398,     262.808,      67.016,     321.108,     362.424,      235000,       27000,       34000,       12000,     163.451,      117987,      117987,       53611,       53611,       63402,       63402,
          21,     117.055,     211.922,      280.12,     315.778,         360,     81709.2,      120000,       50000,       40000,     176.425,     163.398,     262.808,      67.016,     321.108,     362.424,      235000,       27000,       34000,       12000,     163.451,      117987,      117987,       53611,       53611,       63402,       63402,
          41,     117.055,     211.922,      280.12,     315.778,         360,     81709.2,      120000,       50000,       40000,     176.425,     163.398,     262.808,      67.016,     321.108,     362.424,      235000,       27000,       34000,       12000,     163.451,      117987,      117987,       53611,       53611,       63402,       63402,
          61,     117.055,     211.922,      280.12,     315.778,         360,     81709.2,      120000,       50000,       40000,     176.425,     163.398,     262.808,      67.016,     321.108,     362.424,      235000,       27000,       34000,       12000,     163.451,      117987,      117987,       53611,       53611,       63402,       63402,
          81,     117.055,     211.922,      280.12,     315.778,         360,     81709.2,      120000,       50000,       40000,     176.425,     163.398,     262.808,      67.016,     321.108,     362.424,      235000,       27000,       34000,       12000,     163.451,      117987,      117987,       53611,       53611,       63402,       63402,
         101,     117.055,     211.922,      280.12,     315.778,         360,     81709.2,      120000,       50000,       40000,     176.425,     163.398,     262.808,      67.016,     321.108,     362.424,      235000,       27000,       34000,       12000,     163.451,      117987,      117987,       53611,       53611,       63402,       63402,
         121,     117.055,     211.922,      280.12,     315.778,         360,     81709.2,      120000,       50000,       40000,     176.425,     163.398,     262.808,      67.016,     321.108,     362.424,      235000,       27000,       34000,       12000,     163.451,      117987,      117987,       53611,       53611,       63402,       63402,
         141,     117.055,     211.922,      280.12,     315.778,         360,     81709.2,      120000,       50000,       40000,     176.425,     163.398,     262.808,      67.016,     321.108,     362.424,      235000,       27000,       34000,       12000,     163.451,      117987,      117987,       53611,       53611,       63402,       63402,
         161,     117.055,     211.922,      280.12,     315.778,         360,     81709.2,      120000,       50000,       40000,     176.425,     163.398,     262.808,      67.016,     321.108,     362.424,      235000,       27000,       34000,       12000,     163.451,      117987,      117987,       53611,       53611,       63402,       63402,
         181,     117.055,     211.922,      280.12,     315.778,         360,     81709.2,      120000,       50000,       40000,     176.425,     163.398,     262.808,      67.016,     321.108,     362.424,      235000,       27000,       34000,       12000,     163.451,      117987,      117987,       53611,       53611,       63402,       63402,
         201,     117.055,     211.922,      280.12,     315.778,         360,     81709.1,      120000,       50000,       40000,     176.425,     163.398,     262.808,      67.016,     321.108,     362.424,      235000,       27000,       34000,       12000,     163.451,      117987,      117987,       53611,       53611,       63402,       63402,
         221,     117.055,     211.922,      280.12,     315.778,         360,     81709.1,      120000,       50000,       40000,     176.425,     163.398,     262.808,      67.016,     321.108,     362.424,      235000,       27000,       34000,       12000,     163.451,      117987,      117987,       53611,       53611,       63402,       63402,
