StripChart:,HMI,
Date:, Thu Mar 09 21:20:53 2023
,
Number of Data Variables =, 26,
Max Number of Data Points =, 10000,
Number of Data Points =, 116,
Time Interval,         1, to ,      2301,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],
           1,     128.341,     219.908,     285.845,     319.453,         360,      102705,      120000,       50000,       40000,     184.066,     160.058,     265.282,     68.0528,     320.081,     360.703,      235000,       29500,       36000,       14600,     186.587,        4910,        4910,      194967,      194967,       35123,       35123,
          21,     128.341,     219.908,     285.845,     319.453,         360,      102705,      120000,       50000,       40000,     184.066,     160.058,     265.282,     68.0528,     320.081,     360.703,      235000,       29500,       36000,       14600,     186.587,        4910,        4910,      194967,      194967,       35123,       35123,
          41,     128.341,     219.908,     285.845,     319.453,         360,      102705,      120000,       50000,       40000,     184.066,     160.058,     265.282,     68.0528,     320.081,     360.703,      235000,       29500,       36000,       14600,     186.587,        4910,        4910,      194967,      194967,       35123,       35123,
          61,     128.341,     219.908,     285.845,     319.453,         360,      102705,      120000,       50000,       40000,     184.066,     160.058,     265.282,     68.0528,     320.081,     360.703,      235000,       29500,       36000,       14600,     186.587,        4910,        4910,      194967,      194967,       35123,       35123,
          81,     128.341,     219.908,     285.845,     319.453,         360,      102705,      120000,       50000,       40000,     184.066,     160.058,     265.282,     68.0528,     320.081,     360.703,      235000,       29500,       36000,       14600,     186.587,        4910,        4910,      194967,      194967,       35123,       35123,
         101,     128.341,     219.908,     285.845,     319.453,         360,      102705,      120000,       50000,       40000,     184.066,     160.058,     265.282,     68.0528,     320.081,     360.703,      235000,       29500,       36000,       14600,     186.587,        4910,        4910,      194967,      194967,       35123,       35123,
         121,     128.341,     219.908,     285.845,     319.453,         360,      102705,      120000,       50000,       40000,     184.066,     160.058,     265.282,     68.0528,     320.081,     360.703,      235000,       29500,       36000,       14600,     186.587,        4910,        4910,      194967,      194967,       35123,       35123,
         141,     128.341,     219.908,     285.845,     319.453,         360,      102705,      120000,       50000,       40000,     184.066,     160.058,     265.282,     68.0528,     320.081,     360.703,      235000,       29500,       36000,       14600,     186.587,        4910,        4910,      194967,      194967,       35123,       35123,
         161,     128.341,     219.908,     285.845,     319.453,         360,      102705,      120000,       50000,       40000,     184.066,     160.058,     265.282,     68.0528,     320.081,     360.703,      235000,       29500,       36000,       14600,     186.587,        4910,        4910,      194967,      194967,       35123,       35123,
         181,     128.341,     219.908,     285.845,     319.453,         360,      102705,      120000,       50000,       40000,     184.066,     160.058,     265.282,     68.0528,     320.081,     360.703,      235000,       29500,       36000,       14600,     186.587,        4910,        4910,      194967,      194967,       35123,       35123,
         201,     128.341,     219.908,     285.845,     319.453,         360,      102705,      120000,       50000,       40000,     184.066,     160.058,     265.282,     68.0528,     320.081,     360.703,      235000,       29500,       36000,       14600,     186.587,        4910,        4910,      194967,      194967,       35123,       35123,
         221,     128.341,     219.908,     285.845,     319.453,         360,      102705,      120000,       50000,       40000,     184.066,     160.058,     265.282,     68.0528,     320.081,     360.703,      235000,       29500,       36000,       14600,     186.587,        4910,        4910,      194967,      194967,       35123,       35123,
