StripChart:,HMI,,,,,,,,,,,,,,,,,,,,,,,,,
Date:, Thu Mar 09 21:39:45 2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Data Variables =,26,,,,,,,,,,,,,,,,,,,,,,,,,
Max Number of Data Points =,10000,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Data Points =,190,,,,,,,,,,,,,,,,,,,,,,,,,
Time Interval,1, to ,3781,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- 
261,113.287,211.469,282.098,314.793,359.999,80869.1,119997,50000,40000,172.481,159.406,264.805,66.4967,323.426,360.32,235000,29000,34000,8000.01,161.735,80411,80411.2,39924,39924.1,114665,114665
281,113.287,211.469,282.098,314.793,359.999,80869.3,119997,50000,40000,172.481,159.406,264.805,66.4967,323.426,360.32,235000,29000,34000,8000.01,161.735,80411,80411.2,39924,39924.1,114665,114665
301,113.287,211.469,282.098,314.793,359.999,80869.4,119997,50000,40000,172.481,159.406,264.805,66.4967,323.425,360.317,235000,29000,34000,8000.01,161.735,80411,80411.2,39924,39924.1,114665,114665
321,113.287,211.469,282.098,314.792,359.999,80869.6,119997,50000,40000,172.48,159.406,264.805,66.4965,323.425,360.317,235000,29000,34000,8000.01,161.735,80411,80411.2,39924,39924.1,114665,114665
341,113.287,211.469,282.098,314.792,359.999,80869.8,119997,50000,40000,172.48,159.406,264.805,66.4965,323.425,360.317,235000,29000,34000,8000.01,161.735,80411,80411.2,39924,39924.1,114665,114665
361,113.287,211.469,282.098,314.792,359.999,80869.9,119997,50000,40000,172.48,159.406,264.805,66.4965,323.424,360.315,235000,29000,34000,8000.01,161.735,80411,80411.2,39924,39924.1,114665,114665
381,113.287,211.469,282.098,314.792,359.999,80870.1,119997,50000,40000,172.48,159.406,264.804,66.4963,323.424,360.315,235000,29000,34000,8000.01,161.735,80411,80411.2,39924,39924.1,114665,114665
401,113.287,211.469,282.098,314.792,359.999,80870.2,119997,50000,40000,172.48,159.406,264.804,66.4963,323.424,360.315,235000,29000,34000,8000.01,161.735,80411,80411.2,39924,39924.1,114665,114665
421,113.287,211.469,282.098,314.792,359.999,80870.4,119997,50000,40000,172.48,159.406,264.804,66.4963,323.424,360.313,235000,29000,34000,8000.01,161.736,80411,80411.1,39924,39924.1,114665,114665
441,113.287,211.469,282.097,314.792,359.999,80870.5,119997,50000,40000,172.479,159.406,264.804,66.4961,323.424,360.313,235000,29000,34000,8000.01,161.736,80411,80411.1,39924,39924.1,114665,114665
461,113.287,211.469,282.097,314.791,359.999,80870.7,119997,50000,40000,172.479,159.406,264.804,66.4961,323.424,360.313,235000,29000,34000,8000.01,161.736,80411,80411.1,39924,39924.1,114665,114665
481,113.287,211.469,282.097,314.791,359.999,80870.8,119997,50000,40000,172.479,159.406,264.804,66.4961,323.423,360.311,235000,29000,34000,8000.01,161.736,80411,80411.1,39924,39924.1,114665,114665
501,113.287,211.468,282.097,314.791,359.999,80871,119997,50000,40000,172.479,159.406,264.804,66.496,323.423,360.311,235000,29000,34000,8000.01,161.736,80411,80411.1,39924,39924.1,114665,114665
521,113.287,211.468,282.097,314.791,359.999,80871.1,119997,50000,40000,172.479,159.406,264.804,66.496,323.423,360.311,235000,29000,34000,8000.01,161.736,80411,80411.1,39924,39924.1,114665,114665
541,113.287,211.468,282.097,314.791,359.999,80871.3,119997,50000,40000,172.479,159.406,264.804,66.496,323.422,360.309,235000,29000,34000,8000.01,161.736,80411,80411.1,39924,39924.1,114665,114665
561,113.287,211.468,282.097,314.791,359.999,80871.4,119997,50000,40000,172.479,159.406,264.803,66.4958,323.422,360.309,235000,29000,34000,8000.01,161.736,80411,80411.1,39924,39924.1,114665,114665
581,113.287,211.468,282.097,314.791,359.999,80871.5,119997,50000,40000,172.479,159.406,264.803,66.4958,323.422,360.309,235000,29000,34000,8000.01,161.736,80411,80411.1,39924,39924.1,114665,114665
601,113.287,211.468,282.097,314.791,359.999,80871.7,119997,50000,40000,172.479,159.406,264.803,66.4958,323.422,360.307,235000,29000,34000,8000.01,161.737,80411,80411.1,39924,39924.1,114665,114665
621,113.287,211.468,282.097,314.791,359.999,80871.8,119997,50000,40000,172.478,159.406,264.803,66.4957,323.422,360.307,235000,29000,34000,8000.01,161.737,80411,80411.1,39924,39924.1,114665,114665
641,113.287,211.468,282.097,314.79,359.999,80871.9,119997,50000,40000,172.478,159.406,264.803,66.4957,323.422,360.307,235000,29000,34000,8000.01,161.737,80411,80411.1,39924,39924.1,114665,114665
661,113.287,211.468,282.097,314.79,359.999,80872.1,119997,50000,40000,172.478,159.406,264.803,66.4957,323.421,360.305,235000,29000,34000,8000.01,161.737,80411,80411.1,39924,39924.1,114665,114665
681,113.287,211.468,282.097,314.79,359.999,80872.2,119997,50000,40000,172.478,159.406,264.803,66.4955,323.421,360.305,235000,29000,34000,8000.01,161.737,80411,80411.1,39924,39924.1,114665,114665
701,113.287,211.468,282.097,314.79,359.999,80872.3,119997,50000,40000,172.478,159.406,264.803,66.4955,323.421,360.305,235000,29000,34000,8000.01,161.737,80411,80411.1,39924,39924.1,114665,114665
721,113.287,211.468,282.097,314.79,359.999,80872.4,119997,50000,40000,172.478,159.406,264.803,66.4955,323.421,360.304,235000,29000,34000,8000.01,161.737,80411,80411.1,39924,39924.1,114665,114665
741,113.287,211.468,282.097,314.79,359.999,80872.6,119997,50000,40000,172.477,159.406,264.802,66.4954,323.421,360.304,235000,29000,34000,8000.01,161.737,80411,80411.1,39924,39924.1,114665,114665
761,113.287,211.468,282.097,314.79,359.999,80872.7,119997,50000,40000,172.477,159.406,264.802,66.4954,323.421,360.304,235000,29000,34000,8000.01,161.737,80411,80411.1,39924,39924.1,114665,114665
781,113.287,211.468,282.097,314.79,359.999,80872.8,119997,50000,40000,172.477,159.406,264.802,66.4954,323.42,360.302,235000,29000,34000,8000.01,161.737,80411,80411.1,39924,39924.1,114665,114665
801,113.287,211.468,282.097,314.79,359.999,80872.9,119998,50000,40000,172.477,159.405,264.802,66.4952,323.42,360.302,235000,29000,34000,8000.01,161.737,80411,80411.1,39924,39924.1,114665,114665
821,113.287,211.468,282.097,314.79,359.999,80873,119998,50000,40000,172.477,159.405,264.802,66.4952,323.42,360.302,235000,29000,34000,8000,161.738,80411,80411.1,39924,39924.1,114665,114665
841,113.287,211.468,282.097,314.789,359.999,80873.2,119998,50000,40000,172.477,159.405,264.802,66.4952,323.42,360.3,235000,29000,34000,8000,161.738,80411,80411.1,39924,39924.1,114665,114665
861,113.287,211.468,282.097,314.789,359.999,80873.3,119998,50000,40000,172.477,159.405,264.802,66.4951,323.42,360.3,235000,29000,34000,8000,161.738,80411,80411.1,39924,39924.1,114665,114665
881,113.287,211.468,282.097,314.789,359.999,80873.4,119998,50000,40000,172.477,159.405,264.802,66.4951,323.42,360.3,235000,29000,34000,8000,161.738,80411,80411.1,39924,39924.1,114665,114665
901,113.287,211.468,282.097,314.789,359.999,80873.5,119998,50000,40000,172.477,159.405,264.802,66.4951,323.419,360.299,235000,29000,34000,8000,161.738,80411,80411.1,39924,39924.1,114665,114665
921,113.287,211.468,282.097,314.789,359.999,80873.6,119998,50000,40000,172.476,159.405,264.802,66.495,323.419,360.299,235000,29000,34000,8000,161.738,80411,80411.1,39924,39924.1,114665,114665
941,113.286,211.468,282.097,314.789,359.999,80873.7,119998,50000,40000,172.476,159.405,264.802,66.495,323.419,360.299,235000,29000,34000,8000,161.738,80411,80411.1,39924,39924.1,114665,114665
961,113.286,211.468,282.097,314.789,359.999,80873.8,119998,50000,40000,172.476,159.405,264.802,66.495,323.419,360.297,235000,29000,34000,8000,161.738,80411,80411.1,39924,39924.1,114665,114665
981,113.286,211.468,282.097,314.789,359.999,80873.9,119998,50000,40000,172.476,159.405,264.801,66.4948,323.419,360.297,235000,29000,34000,8000,161.738,80411,80411.1,39924,39924.1,114665,114665
1001,113.286,211.468,282.097,314.789,359.999,80874,119998,50000,40000,172.476,159.405,264.801,66.4948,323.419,360.297,235000,29000,34000,8000,161.738,80411,80411.1,39924,39924.1,114665,114665
1021,113.286,211.468,282.097,314.789,359.999,80874.1,119998,50000,40000,172.476,159.405,264.801,66.4948,323.418,360.296,235000,29000,34000,8000,161.738,80411,80411.1,39924,39924.1,114665,114665
1041,113.286,211.468,282.097,314.789,359.999,80874.2,119998,50000,40000,172.476,159.405,264.801,66.4947,323.418,360.296,235000,29000,34000,8000,161.738,80411,80411.1,39924,39924.1,114665,114665
1061,113.286,211.468,282.097,314.789,359.999,80874.3,119998,50000,40000,172.476,159.405,264.801,66.4947,323.418,360.296,235000,29000,34000,8000,161.739,80411,80411.1,39924,39924.1,114665,114665
1081,113.286,211.468,282.097,314.788,359.999,80874.4,119998,50000,40000,172.476,159.405,264.801,66.4947,323.418,360.295,235000,29000,34000,8000,161.739,80411,80411.1,39924,39924.1,114665,114665
1101,113.286,211.468,282.097,314.788,359.999,80874.5,119998,50000,40000,172.475,159.405,264.801,66.4946,323.418,360.295,235000,29000,34000,8000,161.739,80411,80411.1,39924,39924.1,114665,114665
1121,113.286,211.468,282.097,314.788,359.999,80874.6,119998,50000,40000,172.475,159.405,264.801,66.4946,323.418,360.295,235000,29000,34000,8000,161.739,80411,80411.1,39924,39924.1,114665,114665
1141,113.286,211.468,282.097,314.788,359.999,80874.7,119998,50000,40000,172.475,159.405,264.801,66.4946,323.417,360.293,235000,29000,34000,8000,161.739,80411,80411.1,39924,39924.1,114665,114665
1161,113.286,211.468,282.097,314.788,359.999,80874.8,119998,50000,40000,172.475,159.405,264.801,66.4945,323.417,360.293,235000,29000,34000,8000,161.739,80411,80411.1,39924,39924.1,114665,114665
1181,113.286,211.468,282.097,314.788,359.999,80874.9,119998,50000,40000,172.475,159.405,264.801,66.4945,323.417,360.293,235000,29000,34000,8000,161.739,80411,80411.1,39924,39924.1,114665,114665
1201,113.286,211.468,282.097,314.788,359.999,80875,119998,50000,40000,172.475,159.405,264.801,66.4945,323.417,360.292,235000,29000,34000,8000,161.739,80411,80411.1,39924,39924.1,114665,114665
1221,113.286,211.468,282.097,314.788,359.999,80875,119998,50000,40000,172.475,159.405,264.8,66.4944,323.417,360.292,235000,29000,34000,8000,161.739,80411,80411.1,39924,39924.1,114665,114665
1241,113.286,211.468,282.097,314.788,359.999,80875.1,119998,50000,40000,172.475,159.405,264.8,66.4944,323.417,360.292,235000,29000,34000,8000,161.739,80411,80411.1,39924,39924.1,114665,114665
1261,113.286,211.468,282.097,314.788,359.999,80875.2,119998,50000,40000,172.475,159.405,264.8,66.4944,323.417,360.291,235000,29000,34000,8000,161.739,80411,80411.1,39924,39924.1,114665,114665
1281,113.286,211.468,282.097,314.788,359.999,80875.3,119998,50000,40000,172.474,159.405,264.8,66.4943,323.417,360.291,235000,29000,34000,8000,161.739,80411,80411.1,39924,39924.1,114665,114665
1301,113.286,211.468,282.097,314.788,359.999,80875.4,119998,50000,40000,172.474,159.405,264.8,66.4943,323.417,360.291,235000,29000,34000,8000,161.739,80411,80411.1,39924,39924,114665,114665
1321,113.286,211.468,282.097,314.788,359.999,80875.5,119998,50000,40000,172.474,159.405,264.8,66.4943,323.416,360.29,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1341,113.286,211.468,282.097,314.788,359.999,80875.5,119998,50000,40000,172.474,159.405,264.8,66.4942,323.416,360.29,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1361,113.286,211.468,282.097,314.787,359.999,80875.6,119998,50000,40000,172.474,159.405,264.8,66.4942,323.416,360.29,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1381,113.286,211.468,282.097,314.787,359.999,80875.7,119998,50000,40000,172.474,159.405,264.8,66.4942,323.416,360.288,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1401,113.286,211.468,282.097,314.787,359.999,80875.8,119998,50000,40000,172.474,159.405,264.8,66.4941,323.416,360.288,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1421,113.286,211.468,282.097,314.787,359.999,80875.9,119998,50000,40000,172.474,159.405,264.8,66.4941,323.416,360.288,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1441,113.286,211.468,282.097,314.787,359.999,80875.9,119998,50000,40000,172.474,159.405,264.8,66.4941,323.416,360.287,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1461,113.286,211.468,282.097,314.787,359.999,80876,119998,50000,40000,172.474,159.405,264.8,66.494,323.416,360.287,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1481,113.286,211.468,282.097,314.787,359.999,80876.1,119998,50000,40000,172.474,159.405,264.8,66.494,323.416,360.287,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1501,113.286,211.468,282.097,314.787,359.999,80876.1,119998,50000,40000,172.474,159.405,264.8,66.494,323.415,360.286,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1521,113.286,211.468,282.097,314.787,359.999,80876.2,119998,50000,40000,172.473,159.405,264.8,66.4939,323.415,360.286,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1541,113.286,211.468,282.097,314.787,359.999,80876.3,119998,50000,40000,172.473,159.405,264.8,66.4939,323.415,360.286,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1561,113.286,211.468,282.097,314.787,359.999,80876.4,119998,50000,40000,172.473,159.405,264.8,66.4939,323.415,360.285,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1581,113.286,211.468,282.097,314.787,359.999,80876.4,119998,50000,40000,172.473,159.405,264.8,66.4938,323.415,360.285,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1601,113.286,211.468,282.097,314.787,359.999,80876.5,119998,50000,40000,172.473,159.405,264.8,66.4938,323.415,360.285,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1621,113.286,211.468,282.097,314.787,359.999,80876.6,119998,50000,40000,172.473,159.405,264.8,66.4938,323.415,360.284,235000,29000,34000,8000,161.74,80411,80411.1,39924,39924,114665,114665
1641,113.286,211.468,282.097,314.787,359.999,80876.6,119998,50000,40000,172.473,159.405,264.799,66.4937,323.415,360.284,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1661,113.286,211.468,282.097,314.787,359.999,80876.7,119998,50000,40000,172.473,159.405,264.799,66.4937,323.415,360.284,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1681,113.286,211.468,282.097,314.787,359.999,80876.7,119998,50000,40000,172.473,159.405,264.799,66.4937,323.414,360.283,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1701,113.286,211.468,282.097,314.787,359.999,80876.8,119998,50000,40000,172.473,159.405,264.799,66.4936,323.414,360.283,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1721,113.286,211.468,282.097,314.787,359.999,80876.9,119998,50000,40000,172.473,159.405,264.799,66.4936,323.414,360.283,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1741,113.286,211.468,282.097,314.787,359.999,80876.9,119998,50000,40000,172.473,159.405,264.799,66.4936,323.414,360.282,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1761,113.286,211.468,282.097,314.786,359.999,80877,119998,50000,40000,172.472,159.405,264.799,66.4935,323.414,360.282,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1781,113.286,211.468,282.097,314.786,360,80877,119998,50000,40000,172.472,159.405,264.799,66.4935,323.414,360.282,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1801,113.286,211.468,282.097,314.786,360,80877.1,119998,50000,40000,172.472,159.405,264.799,66.4935,323.414,360.282,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1821,113.286,211.468,282.097,314.786,360,80877.2,119998,50000,40000,172.472,159.405,264.799,66.4934,323.414,360.282,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1841,113.286,211.468,282.097,314.786,360,80877.2,119998,50000,40000,172.472,159.405,264.799,66.4934,323.414,360.282,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1861,113.286,211.468,282.097,314.786,360,80877.3,119998,50000,40000,172.472,159.405,264.799,66.4934,323.414,360.281,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1881,113.286,211.468,282.097,314.786,360,80877.3,119998,50000,40000,172.472,159.405,264.799,66.4934,323.414,360.281,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1901,113.286,211.468,282.097,314.786,360,80877.4,119998,50000,40000,172.472,159.405,264.799,66.4934,323.414,360.281,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1921,113.286,211.468,282.097,314.786,360,80877.4,119998,50000,40000,172.472,159.405,264.799,66.4934,323.414,360.28,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1941,113.286,211.468,282.097,314.786,360,80877.5,119998,50000,40000,172.472,159.405,264.799,66.4933,323.414,360.28,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1961,113.286,211.468,282.097,314.786,360,80877.5,119998,50000,40000,172.472,159.405,264.799,66.4933,323.414,360.28,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
1981,113.286,211.468,282.097,314.786,360,80877.6,119998,50000,40000,172.472,159.405,264.799,66.4933,323.413,360.279,235000,29000,34000,8000,161.741,80411,80411.1,39924,39924,114665,114665
2001,113.286,211.468,282.097,314.786,360,80877.6,119998,50000,40000,172.471,159.405,264.799,66.4932,323.413,360.279,235000,29000,34000,8000,161.742,80411,80411.1,39924,39924,114665,114665
2021,113.286,211.468,282.097,314.786,360,80877.7,119998,50000,40000,172.471,159.405,264.799,66.4932,323.413,360.279,235000,29000,34000,8000,161.742,80411,80411.1,39924,39924,114665,114665
2041,113.286,211.468,282.097,314.786,360,80877.7,119998,50000,40000,172.471,159.405,264.799,66.4932,323.413,360.278,235000,29000,34000,8000,161.742,80411,80411.1,39924,39924,114665,114665
2061,113.286,211.468,282.097,314.786,360,80877.8,119998,50000,40000,172.471,159.405,264.799,66.4931,323.413,360.278,235000,29000,34000,8000,161.742,80411,80411.1,39924,39924,114665,114665
2081,113.286,211.468,282.097,314.786,360,80877.8,119998,50000,40000,172.471,159.405,264.799,66.4931,323.413,360.278,235000,29000,34000,8000,161.742,80411,80411.1,39924,39924,114665,114665
2101,113.286,211.468,282.097,314.786,360,80877.9,119998,50000,40000,172.471,159.405,264.799,66.4931,323.413,360.278,235000,29000,34000,8000,161.742,80411,80411.1,39924,39924,114665,114665
2121,113.286,211.468,282.097,314.786,360,80877.9,119998,50000,40000,172.471,159.405,264.799,66.4931,323.413,360.278,235000,29000,34000,8000,161.742,80411,80411.1,39924,39924,114665,114665
2141,113.286,211.468,282.097,314.786,360,80878,119998,50000,40000,172.471,159.405,264.799,66.4931,323.413,360.278,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2161,113.286,211.468,282.097,314.786,360,80878,119998,50000,40000,172.471,159.405,264.799,66.4931,323.413,360.277,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2181,113.286,211.468,282.097,314.786,360,80878,119998,50000,40000,172.471,159.405,264.799,66.493,323.413,360.277,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2201,113.286,211.468,282.097,314.786,360,80878.1,119998,50000,40000,172.471,159.405,264.799,66.493,323.413,360.277,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2221,113.286,211.468,282.097,314.786,360,80878.1,119998,50000,40000,172.471,159.405,264.799,66.493,323.413,360.276,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2241,113.286,211.468,282.097,314.786,360,80878.2,119998,50000,40000,172.471,159.405,264.799,66.4929,323.413,360.276,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2261,113.286,211.468,282.097,314.786,360,80878.2,119998,50000,40000,172.471,159.405,264.799,66.4929,323.413,360.276,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2281,113.286,211.468,282.097,314.786,360,80878.2,119998,50000,40000,172.471,159.405,264.799,66.4929,323.413,360.276,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2301,113.286,211.468,282.097,314.786,360,80878.3,119998,50000,40000,172.47,159.405,264.799,66.4929,323.413,360.276,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2321,113.286,211.468,282.097,314.786,360,80878.3,119998,50000,40000,172.47,159.405,264.799,66.4929,323.413,360.276,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2341,113.286,211.468,282.097,314.786,360,80878.4,119998,50000,40000,172.47,159.405,264.799,66.4929,323.412,360.275,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2361,113.286,211.468,282.097,314.786,360,80878.4,119998,50000,40000,172.47,159.405,264.799,66.4928,323.412,360.275,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2381,113.286,211.468,282.097,314.786,360,80878.4,119998,50000,40000,172.47,159.405,264.799,66.4928,323.412,360.275,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2401,113.286,211.468,282.097,314.786,360,80878.5,119998,50000,40000,172.47,159.405,264.799,66.4928,323.412,360.275,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2421,113.286,211.468,282.097,314.785,360,80878.5,119998,50000,40000,172.47,159.405,264.798,66.4928,323.412,360.275,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2441,113.286,211.468,282.097,314.785,360,80878.5,119998,50000,40000,172.47,159.405,264.798,66.4928,323.412,360.275,235000,29000,34000,8000,161.742,80411,80411,39924,39924,114665,114665
2461,113.286,211.468,282.097,314.785,360,80878.6,119998,50000,40000,172.47,159.405,264.798,66.4928,323.412,360.274,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2481,113.286,211.468,282.097,314.785,360,80878.6,119999,50000,40000,172.47,159.405,264.798,66.4927,323.412,360.274,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2501,113.286,211.468,282.097,314.785,360,80878.6,119999,50000,40000,172.47,159.405,264.798,66.4927,323.412,360.274,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2521,113.286,211.468,282.097,314.785,360,80878.7,119999,50000,40000,172.47,159.405,264.798,66.4927,323.412,360.274,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
2541,113.286,211.468,282.097,314.785,360,80878.7,119999,50000,40000,172.47,159.405,264.798,66.4927,323.412,360.274,235000,29000,34000,8000,161.743,80411,80411,39924,39924,114665,114665
