StripChart:,HMI,,,,,,,,,,,,,,,,,,,,,,,,,
Date:, Thu Mar 09 21:39:45 2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Data Variables =,26,,,,,,,,,,,,,,,,,,,,,,,,,
Max Number of Data Points =,10000,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Data Points =,190,,,,,,,,,,,,,,,,,,,,,,,,,
Time Interval,1, to ,3781,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- 
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h]
1,113.288,211.469,282.098,314.795,359.998,80866.9,119997,50000,40000,172.483,159.406,264.807,66.4976,323.429,360.329,235001,29000,34000,8000.01,161.733,80411,80411.2,39924,39924.1,114665,114665
21,113.287,211.469,282.098,314.795,359.998,80867,119997,50000,40000,172.483,159.406,264.807,66.4975,323.429,360.329,235001,29000,34000,8000.01,161.733,80411,80411.2,39924,39924.1,114665,114665
41,113.287,211.469,282.098,314.795,359.998,80867.2,119997,50000,40000,172.483,159.406,264.807,66.4975,323.429,360.329,235001,29000,34000,8000.01,161.733,80411,80411.2,39924,39924.1,114665,114665
61,113.287,211.469,282.098,314.794,359.998,80867.4,119997,50000,40000,172.483,159.406,264.807,66.4975,323.428,360.327,235001,29000,34000,8000.01,161.733,80411,80411.2,39924,39924.1,114665,114665
81,113.287,211.469,282.098,314.794,359.998,80867.6,119997,50000,40000,172.482,159.406,264.807,66.4973,323.428,360.327,235001,29000,34000,8000.01,161.734,80411,80411.2,39924,39924.1,114665,114665
101,113.287,211.469,282.098,314.794,359.999,80867.7,119997,50000,40000,172.482,159.406,264.807,66.4973,323.428,360.327,235001,29000,34000,8500.01,161.734,80411,80411.2,39924,39924.1,114665,114665
121,113.287,211.469,282.098,314.794,359.999,80867.9,119997,50000,40000,172.482,159.406,264.807,66.4973,323.427,360.324,235001,29000,34000,8000.01,161.734,80411,80411.2,39924,39924.1,114665,114665
141,113.287,211.469,282.098,314.794,359.999,80868.1,119997,50000,40000,172.482,159.406,264.806,66.4971,323.427,360.324,235001,29000,34000,8000.01,161.734,80411,80411.2,39924,39924.1,114665,114665
161,113.287,211.469,282.098,314.794,359.999,80868.3,119997,50000,40000,172.482,159.406,264.806,66.4971,323.427,360.324,235001,29000,34000,8000.01,161.734,80411,80411.2,39924,39924.1,114665,114665
181,113.287,211.469,282.098,314.793,359.999,80868.4,119997,50000,40000,172.482,159.406,264.806,66.4971,323.427,360.322,235001,29000,34000,8000.01,161.734,80411,80411.2,39924,39924.1,114665,114665
201,113.287,211.469,282.098,314.793,359.999,80868.6,119997,50000,40000,172.481,159.406,264.806,66.4969,323.427,360.322,235001,29000,34000,8000.01,161.734,80411,80411.2,39924,39924.1,114665,114665
221,113.287,211.469,282.098,314.793,359.999,80868.8,119997,50000,40000,172.481,159.406,264.806,66.4969,323.427,360.322,235000,29000,34000,8000.01,161.734,80411,80411.2,39924,39924.1,114665,114665
241,113.287,211.469,282.098,314.793,359.999,80869,119997,50000,40000,172.481,159.406,264.806,66.4969,323.426,360.32,235000,29000,34000,8000.01,161.735,80411,80411.2,39924,39924.1,114665,114665
