StripChart:,HMI,
Date:, Thu Mar 09 20:20:48 2023
,
Number of Data Variables =, 26,
Max Number of Data Points =, 10000,
Number of Data Points =, 118,
Time Interval,         1, to ,      2341,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],
           1,      120.23,     213.091,     282.488,     317.296,     360.001,     88282.9,      120004,       50000,       40000,     177.829,     162.602,     263.058,     66.9196,     321.699,     362.312,      235000,       27000,       36000,       12000,     168.867,       36667,     36666.9,       99177,     99176.8,     99155.8,       99156,
          21,      120.23,     213.091,     282.488,     317.296,     360.001,     88282.8,      120004,       50000,       40000,     177.829,     162.602,     263.058,     66.9196,     321.699,     362.312,      235000,       27000,       36000,       12000,     168.867,       36667,     36666.9,       99177,     99176.8,     99155.8,       99156,
          41,      120.23,     213.091,     282.488,     317.296,     360.001,     88282.7,      120004,       50000,       40000,     177.829,     162.602,     263.058,     66.9196,     321.699,     362.312,      235000,       27000,       36000,       12000,     168.867,       36667,     36666.9,       99177,     99176.8,     99155.8,       99156,
          61,      120.23,     213.091,     282.488,     317.296,     360.001,     88282.6,      120004,       50000,       40000,     177.829,     162.602,     263.058,     66.9196,     321.699,     362.313,      235000,       27000,       36000,       12000,     168.867,       36667,     36666.9,       99177,     99176.8,     99155.8,       99156,
          81,      120.23,     213.091,     282.488,     317.296,     360.001,     88282.5,      120004,       50000,       40000,      177.83,     162.602,     263.058,     66.9198,     321.699,     362.313,      235000,       27000,       36000,       12000,     168.867,       36667,     36666.9,       99177,     99176.8,     99155.8,       99156,
         101,      120.23,     213.091,     282.488,     317.297,     360.001,     88282.4,      120004,       50000,       40000,      177.83,     162.602,     263.058,     66.9198,     321.699,     362.313,      235000,       27000,       36000,       12000,     168.867,       36667,     36666.9,       99177,     99176.8,     99155.8,       99156,
         121,      120.23,     213.091,     282.488,     317.297,     360.001,     88282.3,      120004,       50000,       40000,      177.83,     162.602,     263.058,     66.9198,     321.699,     362.313,      235000,       27000,       36000,       12000,     168.867,       36667,     36666.9,       99177,     99176.8,     99155.9,       99156,
         141,      120.23,     213.091,     282.488,     317.297,     360.001,     88282.2,      120004,       50000,       40000,      177.83,     162.602,     263.058,     66.9199,     321.699,     362.313,      235000,       27000,       36000,       12000,     168.867,       36667,     36666.9,       99177,     99176.8,     99155.9,       99156,
         161,      120.23,     213.091,     282.488,     317.297,     360.001,     88282.1,      120004,       50000,       40000,      177.83,     162.602,     263.058,     66.9199,     321.699,     362.313,      235000,       27000,       36000,       12000,     168.867,       36667,     36666.9,       99177,     99176.9,     99155.9,       99156,
         181,      120.23,     213.091,     282.488,     317.297,     360.001,       88282,      120004,       50000,       40000,      177.83,     162.602,     263.058,     66.9199,     321.699,     362.314,      235000,       27000,       36000,       12000,     168.867,       36667,     36666.9,       99177,     99176.9,     99155.9,       99156,
         201,      120.23,     213.091,     282.488,     317.297,     360.001,       88282,      120004,       50000,       40000,     177.831,     162.602,     263.058,       66.92,     321.699,     362.314,      235000,       27000,       36000,       12000,     168.867,       36667,     36666.9,       99177,     99176.9,     99155.9,       99156,
