StripChart:,HMI,
Date:, Thu Mar 09 20:00:43 2023
,
Number of Data Variables =, 26,
Max Number of Data Points =, 10000,
Number of Data Points =, 2807,
Time Interval,         1, to ,     56121,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],
         341,      115.26,     208.147,     281.345,     317.287,     359.385,     80792.7,      119991,     49999.2,     40001.4,     174.066,     163.125,     260.761,       66.44,     323.766,     364.944,      234549,     25007.3,     38011.4,       10003,     162.449,       42850,     43028.4,       83256,       82374,      109134,      108894,
         361,     115.279,      208.16,     281.348,     317.278,     359.327,     80829.6,      119988,     49998.8,     40001.2,     174.066,     163.125,     260.761,       66.44,     323.766,     364.944,      234520,     25008.6,     38013.5,     10003.5,     162.503,       42850,     42975.1,       83256,     82496.4,      109038,      108894,
         381,     115.302,     208.176,     281.351,      317.27,     359.271,     80874.2,      119985,     49998.3,     40000.9,     174.066,     163.075,      260.76,     66.4357,     323.766,     364.944,      234491,       25010,     38015.7,     10004.1,     162.564,       42850,     42930.8,       83256,     82594.5,      108958,      108894,
         401,     115.327,     208.194,     281.355,     317.263,     359.217,       80927,      119982,     49997.8,     40000.6,     174.066,     163.075,      260.76,     66.4357,     323.766,     364.944,      234464,     25011.5,       38018,     10004.8,     162.632,       42850,       42894,       83256,     82673.2,      108890,      108894,
         421,     115.355,     208.214,      281.36,     317.258,     359.167,     80988.5,      119979,     49997.2,     40000.3,     174.066,     163.075,      260.76,     66.4357,     323.764,     364.944,      234440,     25013.1,     38020.4,     10005.4,     162.708,       42850,     42863.7,       83256,     82736.5,      108835,      108894,
         441,     115.385,     208.236,     281.365,     317.255,     359.121,     81058.6,      119975,     49996.5,     39999.9,     174.066,     163.005,      260.76,     66.4299,     323.764,     364.944,      234419,     25014.6,     38022.8,     10006.1,     162.789,       42850,     42838.7,       83256,     82787.8,      108789,      108894,
         461,     115.417,     208.259,     281.371,     317.252,     359.081,     81137.5,      119970,     49995.8,     39999.4,     174.066,     163.005,      260.76,     66.4299,     323.764,     364.944,      234402,     25016.2,     38025.1,     10006.7,     162.877,       42850,     42818.2,       83256,     82829.4,      108751,      108894,
         481,     115.451,     208.284,     281.377,     317.252,     359.046,       81225,      119966,     49995.1,       39999,     174.066,     163.005,      260.76,     66.4299,     323.763,     364.943,      234388,     25017.7,     38027.4,     10007.4,      162.97,       42850,     42801.6,       83256,     82863.6,      108721,      108894,
         501,     115.487,     208.311,     281.383,     317.252,     359.016,     81320.7,      119961,     49994.3,     39998.5,     174.067,     162.923,     260.762,      66.423,     323.763,     364.943,      234379,     25019.2,     38029.6,       10008,     163.068,       42850,     42788.4,       83256,     82892.1,      108697,      108894,
         521,     115.523,     208.337,      281.39,     317.254,     358.992,     81424.1,      119956,     49993.5,       39998,     174.067,     162.923,     260.762,      66.423,     323.763,     364.943,      234374,     25020.6,     38031.7,     10008.6,      163.17,       42850,     42778.2,       83256,     82916.3,      108678,      108894,
         541,     115.561,     208.365,     281.396,     317.256,     358.973,     81534.8,      119951,     49992.7,     39997.4,     174.067,     162.923,     260.762,      66.423,      323.76,     364.942,      234374,     25021.8,     38033.6,     10009.1,     163.275,       42850,     42770.4,       83256,     82937.3,      108665,      108894,
         561,     115.599,     208.392,     281.401,      317.26,     358.961,     81651.8,      119945,     49991.9,     39996.9,     174.068,     162.834,     260.765,     66.4147,      323.76,     364.942,      234379,       25023,     38035.3,     10009.7,     163.384,       42850,       42765,       83256,     82956.2,      108656,      108894,
         581,     115.638,     208.419,     281.406,     317.264,     358.952,     81774.7,      119940,     49991.1,     39996.4,     174.068,     162.834,     260.765,     66.4147,      323.76,     364.942,      234388,       25024,     38036.8,     10010.1,     163.494,       42850,     42761.5,       83256,     82973.5,      108652,      108894,
         601,     115.676,     208.445,      281.41,     317.268,     358.949,     81902.5,      119934,     49990.3,     39995.9,     174.068,     162.834,     260.765,     66.4147,     323.755,      364.94,      234402,     25024.9,       38038,     10010.5,     163.606,       42850,     42759.9,       83256,     82989.9,      108651,      108894,
         621,     115.714,     208.471,     281.413,     317.273,      358.95,     82034.5,      119929,     49989.6,     39995.4,     174.071,     162.746,     260.768,     66.4047,     323.755,      364.94,      234420,     25025.6,     38039.1,     10010.9,     163.719,       42850,     42759.8,       83256,     83005.8,      108653,      108894,
         641,     115.752,     208.496,     281.415,     317.278,     358.954,       82170,      119923,     49988.9,     39994.9,     174.071,     162.746,     260.768,     66.4047,     323.755,      364.94,      234442,     25026.2,     38039.9,     10011.1,     163.832,       42850,       42761,       83256,     83021.3,      108659,      108894,
         661,     115.788,     208.519,     281.415,     317.282,     358.963,     82308.1,      119918,     49988.2,     39994.5,     174.071,     162.746,     260.768,     66.4047,     323.748,     364.937,      234468,     25026.6,     38040.5,     10011.4,     163.944,       42850,     42763.3,       83256,     83036.6,      108667,      108894,
         681,     115.824,     208.541,     281.414,     317.286,     358.973,     82448.2,      119913,     49987.6,     39994.1,     174.076,     162.665,     260.769,     65.0306,     323.748,     364.937,      234496,     25026.9,     38040.8,     10011.5,     164.056,       42850,     42766.7,       83256,     83051.9,      108676,      108894,
         701,     115.859,     208.561,     281.412,      317.29,      358.99,     82589.6,      119908,       49987,     39993.8,     174.076,     162.665,     260.769,     65.0306,     323.748,     364.937,      234528,     25027.1,       38041,     10011.6,     164.167,       42850,     42770.8,       83256,     83067.2,      108688,      108894,
         721,     115.893,      208.58,     281.408,     317.292,     359.008,     82731.6,      119903,     49986.4,     39993.4,     174.076,     162.665,     260.769,     65.0306,     323.735,     364.933,      234561,     25027.1,       38041,     10011.6,     164.276,       42850,     42775.7,       83256,     83082.6,      108702,      108894,
         741,     115.925,     208.596,     281.402,     317.293,     359.022,     82873.7,      119898,       49986,     39993.1,     174.081,      162.59,     260.766,     65.0144,     323.735,     364.933,      234597,       25027,     38040.8,     10011.6,     164.383,       42850,     42781.1,       83256,     83098.1,      108716,      108894,
         761,     115.956,     208.611,     281.394,     317.294,     359.045,     83015.4,      119893,     49985.5,     39992.9,     174.081,      162.59,     260.766,     65.0144,     323.735,     364.933,      234634,     25026.8,     38040.4,     10011.5,     164.487,       42850,       42787,       83256,     83113.6,      108732,      108894,
         781,     115.986,     208.623,     281.385,     317.293,     359.063,     83156.3,      119889,     49985.1,     39992.7,     174.081,      162.59,     260.766,     65.0144,     323.715,     364.927,      234672,     25026.5,     38039.9,     10011.5,     164.589,       42850,     42793.3,       83256,     83129.1,      108748,      108894,
         801,     116.014,     208.634,     281.373,      317.29,     359.083,     83295.7,      119885,     49984.8,     39992.5,     174.088,     162.523,     260.756,     64.9929,     323.715,     364.927,      234711,     25026.1,     38039.2,     10011.3,     164.689,       42850,     42799.8,       83256,     83144.6,      108765,      108894,
         821,     116.041,     208.643,      281.36,     317.286,     359.105,     83433.6,      119881,     49984.6,     39992.4,     174.088,     162.523,     260.756,     64.9929,     323.715,     364.927,      234750,     25025.6,     38038.5,     10011.1,     164.785,       42850,     42806.4,       83256,     83159.7,      108782,      108894,
         841,     116.066,     208.649,     281.345,     317.281,     359.132,     83569.5,      119877,     49984.4,     39992.3,     174.088,     162.523,     260.756,     64.9929,     323.686,     364.918,      234788,       25025,     38037.6,     10010.9,     164.879,       42850,     42813.1,       83256,     83174.6,      108799,      108894,
