序号,一反温度,二反温度,重量空速,反应压力,剂油比,汽油收率,柴油收率,液化气收率,油浆收率,丙烯收率,干气收率,焦炭收率
129,513.49 ,506.07 ,31.84 ,173.43 ,5.00 ,38.64,22.4,14.36,5.2,6.76,5.01,7.63
130,513.90 ,505.33 ,30.98 ,174.12 ,5.05 ,39.71,22.14,13.9,4.88,5.65,4.98,8.74
131,513.29 ,505.59 ,31.14 ,173.03 ,5.05 ,39.78,21.55,14.33,4.86,6.7,5.04,7.74
132,512.82 ,505.47 ,32.31 ,172.52 ,5.04 ,38,23.08,13.53,5.53,5.96,4.96,8.94
133,512.96 ,506.21 ,32.09 ,171.24 ,5.02 ,41.07,16.92,14.95,5.42,7.6,5.45,8.59
134,513.51 ,506.18 ,31.75 ,171.66 ,5.04 ,39.18,21.65,15.28,5.01,7.11,4.95,6.82
135,513.46 ,505.82 ,32.20 ,172.01 ,5.07 ,38.95,21.87,14.21,5.24,7.26,4.78,7.69
136,513.26 ,505.70 ,32.22 ,171.51 ,5.06 ,41.55,17.54,14.95,5.32,7.59,4.88,8.17
137,513.56 ,506.34 ,31.81 ,171.77 ,5.06 ,38.02,22.1,15.97,5.1,6.21,4.81,7.79
138,513.46 ,506.60 ,31.20 ,174.77 ,5.11 ,40.1,20.63,15.73,4.6,7.23,4.94,6.77
139,513.23 ,506.05 ,31.69 ,172.70 ,5.00 ,40.31,20.31,14.42,4.45,7.39,4.77,8.35
140,513.37 ,505.98 ,32.77 ,171.01 ,4.98 ,40.5,18.8,15.35,5.1,7.61,4.82,7.82
141,513.19 ,505.52 ,32.78 ,170.85 ,4.93 ,39,21.07,15.63,5.05,7.82,4.65,6.78
142,513.47 ,506.37 ,31.66 ,172.07 ,4.96 ,39.2,22.75,15.2,4.65,7.57,4.63,6
143,513.76 ,506.11 ,32.29 ,170.53 ,4.95 ,40.8,19.01,16.51,4.73,4.7,5.03,9.22
144,513.19 ,506.25 ,33.39 ,171.09 ,4.86 ,40.37,20.5,14.84,4.79,7.34,4.85,7.31
145,514.08 ,506.28 ,32.55 ,171.26 ,4.84 ,40,19.64,14.54,4.73,7.26,4.88,8.95
146,513.76 ,505.91 ,32.42 ,170.86 ,4.84 ,40.37,19.87,15.38,5.07,7.35,4.8,7.16
147,513.95 ,506.67 ,31.82 ,171.09 ,4.81 ,39.18,23.3,16.12,4.63,6.6,4.61,5.56
148,514.51 ,506.94 ,32.49 ,171.59 ,4.89 ,39.92,20.73,13.8,5.18,6.81,4.95,8.61
149,514.25 ,505.47 ,31.51 ,171.29 ,4.49 ,40.3,22.56,15.27,3.4,6.63,4.25,7.59
150,514.20 ,505.20 ,32.07 ,171.51 ,4.31 ,38.4,21.68,14.7,3.54,7.7,4.43,9.55
151,514.21 ,505.33 ,31.51 ,172.01 ,4.32 ,36.4,22.8,16.23,3.61,9.45,4.57,6.94
152,513.82 ,505.29 ,32.12 ,172.09 ,4.33 ,39,23.02,15.04,3.71,7.64,4.29,7.3
153,513.90 ,505.45 ,32.78 ,172.34 ,4.31 ,38.24,24.1,15.41,3.69,7.56,4.26,6.74
154,514.00 ,505.36 ,33.10 ,171.89 ,4.29 ,38.9,22.46,16.44,3.72,6.12,4.35,8.01
155,513.98 ,505.10 ,32.68 ,171.85 ,4.29 ,39.48,21.11,15.82,3.84,7.91,4.31,7.53
156,513.99 ,504.92 ,32.13 ,171.54 ,4.31 ,39.66,21.62,15.58,3.58,7.79,4.23,7.54
157,513.87 ,505.06 ,31.66 ,171.26 ,4.29 ,39.94,21.17,15.88,3.4,7.37,4.27,7.97
158,514.34 ,505.20 ,31.48 ,171.19 ,4.27 ,39.41,21.56,15.74,3.28,7.85,4.38,7.78
159,513.99 ,505.22 ,32.34 ,171.49 ,4.27 ,39.06,23.74,15.6,3.42,7.78,4.5,5.9
160,514.02 ,505.31 ,32.00 ,172.08 ,4.29 ,39.11,23.5,15.68,3.56,6.35,4.14,7.66
161,514.15 ,505.33 ,33.13 ,172.94 ,4.27 ,38.92,17.68,15.11,3.46,7.66,4.2,12.97
162,513.76 ,505.10 ,32.45 ,172.92 ,4.24 ,41.45,18.22,16.15,3.63,8.06,4.55,7.94
163,513.66 ,505.06 ,32.74 ,173.49 ,4.26 ,41.96,20.72,15.59,3.42,7.79,4.61,5.91
164,513.99 ,505.33 ,33.02 ,173.47 ,4.27 ,40.39,20.43,14.71,3.56,7.93,4.67,8.31
165,514.27 ,505.01 ,32.72 ,172.22 ,4.28 ,40.36,21.8,14.53,4.52,8.68,4.47,5.64
166,513.14 ,504.30 ,31.62 ,171.24 ,4.30 ,36.9,25.67,15.17,4.28,7.61,4.3,6.07
167,512.75 ,503.98 ,31.28 ,171.04 ,4.33 ,37.43,24.8,14.77,4.35,7.22,4.18,7.25
168,512.45 ,504.02 ,32.09 ,170.64 ,4.38 ,37.83,24.23,15.8,4.58,6.86,4.29,6.41
169,512.73 ,504.41 ,32.56 ,171.21 ,4.42 ,37.5,24.32,15.11,5,7.54,4.41,6.12
170,512.73 ,504.48 ,32.22 ,172.33 ,4.35 ,38.05,23.87,15.01,4.62,7.45,4.27,6.73
171,512.91 ,504.37 ,32.84 ,173.14 ,4.33 ,37.39,24.76,14.73,4.7,7.37,4.22,6.83
172,513.30 ,504.55 ,33.05 ,173.29 ,4.37 ,39.2,21.08,15.38,4.79,7.7,4.32,7.53
173,513.35 ,504.39 ,32.91 ,172.04 ,4.32 ,39.69,22.43,15.28,4.57,7.04,4.29,6.7
174,513.13 ,504.05 ,32.01 ,171.04 ,4.31 ,39.16,21.69,14.86,4.5,7.41,4.55,7.83
175,512.41 ,503.61 ,31.82 ,170.78 ,4.30 ,39.5,20.24,15.12,4.4,7.53,4.69,8.52
176,513.13 ,504.21 ,32.49 ,170.81 ,4.26 ,40.48,19.84,14.75,5.1,7.34,4.66,7.83
177,512.89 ,503.40 ,33.18 ,171.50 ,4.27 ,38.4,23.11,14.48,5.74,7.18,4.52,6.57
178,513.00 ,503.66 ,32.11 ,171.64 ,4.26 ,40.47,21.69,15.11,5.15,6,4.76,6.82
179,512.08 ,502.94 ,31.96 ,169.96 ,4.25 ,38.98,23.72,13.96,5.06,7.06,4.55,6.67
180,512.59 ,503.13 ,31.96 ,170.21 ,4.28 ,40.98,18.16,15.86,4.41,7.92,4.91,7.76
181,512.98 ,503.26 ,32.30 ,168.21 ,4.27 ,39.04,21.52,15.8,4.56,7.17,4.67,7.24
182,513.77 ,503.95 ,32.74 ,165.78 ,4.31 ,39.15,21.8,15.2,5,7.54,4.64,6.67
183,514.49 ,505.33 ,32.28 ,167.66 ,4.35 ,39.09,23.11,15.08,4.84,7.52,4.67,5.69
184,515.19 ,506.48 ,31.91 ,168.71 ,4.40 ,38.56,24.8,14.97,4.66,6.59,4.47,5.95
185,514.21 ,505.72 ,32.52 ,166.26 ,4.38 ,41.67,18.39,15.41,4.9,7.7,4.8,7.13
186,514.02 ,505.72 ,31.59 ,164.58 ,4.38 ,39.24,20.98,15.58,4.83,7.78,4.57,7.02
187,515.28 ,506.35 ,34.09 ,164.78 ,4.32 ,41.02,18.23,15.79,5.38,7.86,4.9,6.82
188,515.29 ,505.95 ,32.34 ,165.73 ,4.32 ,40.02,20.56,15.37,4.77,7.72,4.76,6.8
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
