StripChart:,HMI,
Date:, Thu Mar 09 19:38:21 2023
,
Number of Data Variables =, 26,
Max Number of Data Points =, 10000,
Number of Data Points =, 25,
Time Interval,         1, to ,       481,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],
           1,      126.22,      216.83,     283.244,     317.935,         360,     96858.2,      120001,       50000,       40000,      184.69,     163.991,     263.579,     68.3923,     319.621,     360.818,      235000,       27000,       36000,       14345,     177.053,       21104,       21104,      157366,      157366,       56530,       56530,
          21,      126.22,      216.83,     283.244,     317.935,         360,     96858.2,      120001,       50000,       40000,      184.69,     163.991,     263.579,     68.3923,     319.621,     360.818,      235000,       27000,       36000,       14345,     177.053,       21104,       21104,      157366,      157366,       56530,       56530,
          41,      126.22,      216.83,     283.244,     317.935,         360,     96858.2,      120001,       50000,       40000,      184.69,     163.991,     263.579,     68.3923,     319.621,     360.818,      235000,       27000,       36000,       14345,     177.053,       21104,       21104,      157366,      157366,       56530,       56530,
          61,      126.22,      216.83,     283.244,     317.935,         360,     96858.2,      120001,       50000,       40000,      184.69,     163.991,     263.579,     68.3923,     319.621,     360.819,      235000,       27000,       36000,       14345,     177.053,       21104,       21104,      157366,      157366,       56530,       56530,
          81,      126.22,      216.83,     283.244,     317.935,         360,     96858.2,      120001,       50000,       40000,      184.69,     163.991,     263.579,     68.3922,     319.621,     360.819,      235000,       27000,       36000,       14345,     177.053,       21104,       21104,      157366,      157366,       56530,       56530,
         101,      126.22,      216.83,     283.244,     317.935,         360,     96858.2,      120001,       50000,       40000,      184.69,     163.991,     263.579,     68.3922,     319.621,     360.819,      235000,       27000,       36000,       14345,     177.053,       21104,       21104,      157366,      157366,       56530,       56530,
         121,      126.22,      216.83,     283.244,     317.935,         360,     96858.2,      120001,       50000,       40000,      184.69,     163.991,     263.579,     68.3922,     319.621,     360.819,      235000,       27000,       36000,       14345,     177.053,       21104,       21104,      157366,      157366,       56530,       56530,
         141,      126.22,      216.83,     283.244,     317.936,         360,     96858.2,      120001,       50000,       40000,      184.69,     163.991,     263.579,     68.3922,     319.621,     360.819,      235000,       27000,       36000,       14345,     177.053,       21104,       21104,      157366,      157366,       56530,       56530,
         161,      126.22,      216.83,     283.244,     317.936,         360,     96858.2,      120001,       50000,       40000,      184.69,     163.991,     263.579,     68.3922,     319.621,     360.819,      235000,       27000,       36000,       14345,     177.053,       21104,       21104,      157366,      157366,       56530,       56530,
         181,      126.22,      216.83,     283.244,     317.936,         360,     96858.1,      120001,       50000,       40000,      184.69,     163.991,     263.579,     68.3922,     319.622,      360.82,      235000,       27000,       36000,       14345,     177.053,       21104,       21104,      157366,      157366,       56530,       56530,
         201,      126.22,      216.83,     283.244,     317.936,         360,     96858.1,      120001,       50000,       40000,      184.69,     163.991,     263.579,     68.3922,     319.622,      360.82,      235000,       27000,       36000,       14345,     177.053,       21104,       21104,      157366,      157366,       56530,       56530,
         221,      126.22,      216.83,     283.245,     317.936,         360,     96858.1,      120001,       50000,       40000,      184.69,     163.991,     263.579,     68.3922,     319.622,      360.82,      235000,       27000,       36000,       14345,     177.053,       21104,       21104,      157366,      157366,       56530,       56530,
